province_code,segment,n_external
01,compraventa,85
01,concesionario,37
01,desguace,9
02,compraventa,171
02,concesionario,43
02,desguace,21
03,compraventa,813
03,concesionario,218
03,desguace,53
04,compraventa,308
04,concesionario,84
04,desguace,29
05,compraventa,70
05,concesionario,18
05,desguace,9
06,compraventa,363
06,concesionario,76
06,desguace,33
07,compraventa,361
07,concesionario,138
07,desguace,24
08,compraventa,1571
08,concesionario,645
08,desguace,76
09,compraventa,129
09,concesionario,40
09,desguace,19
10,compraventa,185
10,concesionario,44
10,desguace,25
11,compraventa,330
11,concesionario,140
11,desguace,25
12,compraventa,218
12,concesionario,68
12,desguace,15
13,compraventa,231
13,concesionario,55
13,desguace,29
14,compraventa,347
14,concesionario,89
14,desguace,33
15,compraventa,456
15,concesionario,126
15,desguace,40
16,compraventa,110
16,concesionario,22
16,desguace,12
17,compraventa,320
17,concesionario,90
17,desguace,25
18,compraventa,367
18,concesionario,104
18,desguace,40
19,compraventa,90
19,concesionario,31
19,desguace,11
20,compraventa,166
20,concesionario,81
20,desguace,18
21,compraventa,173
21,concesionario,59
21,desguace,17
22,compraventa,89
22,concesionario,25
22,desguace,8
23,compraventa,264
23,concesionario,70
23,desguace,17
24,compraventa,207
24,concesionario,51
24,desguace,19
25,compraventa,240
25,concesionario,50
25,desguace,18
26,compraventa,112
26,concesionario,35
26,desguace,7
27,compraventa,188
27,concesionario,37
27,desguace,37
28,compraventa,2249
28,concesionario,764
28,desguace,48
29,compraventa,743
29,concesionario,192
29,desguace,37
30,compraventa,641
30,concesionario,170
30,desguace,41
31,compraventa,238
31,concesionario,75
31,desguace,19
32,compraventa,158
32,concesionario,35
32,desguace,12
33,compraventa,336
33,concesionario,113
33,desguace,35
34,compraventa,57
34,concesionario,18
34,desguace,7
35,compraventa,442
35,concesionario,126
35,desguace,37
36,compraventa,417
36,concesionario,107
36,desguace,34
37,compraventa,136
37,concesionario,37
37,desguace,19
38,compraventa,457
38,concesionario,116
38,desguace,15
39,compraventa,182
39,concesionario,66
39,desguace,16
40,compraventa,63
40,concesionario,17
40,desguace,6
41,compraventa,784
41,concesionario,221
41,desguace,62
42,compraventa,32
42,concesionario,10
42,desguace,4
43,compraventa,309
43,concesionario,93
43,desguace,27
44,compraventa,61
44,concesionario,15
44,desguace,9
45,compraventa,378
45,concesionario,80
45,desguace,51
46,compraventa,920
46,concesionario,291
46,desguace,60
47,compraventa,155
47,concesionario,58
47,desguace,18
48,compraventa,251
48,concesionario,130
48,desguace,29
49,compraventa,79
49,concesionario,19
49,desguace,14
50,compraventa,262
50,concesionario,109
50,desguace,20
51,compraventa,16
51,concesionario,10
51,desguace,2
52,compraventa,32
52,concesionario,10
52,desguace,1
,compraventa,17362
,concesionario,5358
,desguace,1292
,,24377
