province_code,prov_name,cnae45_locales_2024
02,Albacete,820
03,Alicante/Alacant,3957
04,Almería,1506
01,Araba/Álava,467
33,Asturias,1724
05,Ávila,339
06,Badajoz,1687
07,Balears/Illes,1916
08,Barcelona,8508
48,Bizkaia,1464
09,Burgos,649
10,Cáceres,881
11,Cádiz,1805
39,Cantabria,951
12,Castellón/Castelló,1099
13,Ciudad Real,1097
14,Córdoba,1672
15,Coruña/A,2235
16,Cuenca,508
20,Gipuzkoa,950
17,Girona,1574
18,Granada,1809
19,Guadalajara,465
21,Huelva,892
22,Huesca,436
23,Jaén,1282
24,León,990
25,Lleida,1114
27,Lugo,863
28,Madrid,11567
29,Málaga,3589
30,Murcia,3112
31,Navarra,1203
32,Ourense,739
34,Palencia,286
35,Las Palmas,2179
36,Pontevedra,2010
26,Rioja/La,566
37,Salamanca,666
38,Santa Cruz de Tenerife,2200
40,Segovia,306
41,Sevilla,3858
42,Soria,162
43,Tarragona,1542
44,Teruel,292
45,Toledo,1760
46,Valencia/València,4650
47,Valladolid,817
49,Zamora,376
50,Zaragoza,1425
51,Ceuta,101
52,Melilla,163
